date,exercise,weight_kg,reps,sets
2025-10-12,push-up,0,10,4
2025-10-12,bodyweight-squat,0,15,4
2025-10-12,lunge,0,10,3
2025-10-12,superman,0,12,3
2025-10-12,plank,0,"30s",3
2025-10-12,running,0,"2.7km","24m37s"
2025-10-22,push-up,0,10,4
2025-10-22,bodyweight-squat,0,15,4
2025-10-22,pike-push-up,0,8,2
2025-10-22,lunge,0,15,3
2025-10-22,leg-raise,0,15,3
2025-10-22,burpee,0,10,3
2025-10-27,machine-barbell-row,20,5,2
2025-10-27,machine-barbell-row,30,5,2
2025-10-27,incline-dumbbell-press,12,8,1
2025-10-27,incline-dumbbell-press,16,8,1
2025-10-27,incline-dumbbell-press,20,8,2
2025-10-27,lying-leg-curl,21,10,3
2025-10-27,dumbbell-lateral-raise,10,12,3
2025-10-27,bicycle-crunch,0,15,1
2025-10-27,bicycle-crunch,0,10,1
2025-10-29,barbell-squat,40,10,3
2025-10-29,smith-machine-bench-press,20,10,3
2025-10-29,dumbbell-row,10,10,3
2025-10-29,leg-press,80,10,3
2025-10-29,plank,0,"60s",1
2025-10-29,plank,0,"30s",2
2025-11-03,barbell-squat,40,10,1
2025-11-03,barbell-squat,50,10,2
2025-11-03,smith-machine-bench-press,20,10,1
2025-11-03,smith-machine-bench-press,30,10,2
2025-11-03,machine-row,40,10,3
2025-11-03,leg-press,80,10,3
2025-11-03,plank,0,"60s",1
2025-11-03,plank,0,"45s",2
